target_gene,cell_n
ACAT2,1765
ACVR1B,1400
AKT2,938
ANTXR1,1448
ARID1A,1256
ATM,455
ATP1B1,2121
ATP6V0B,245
ATP6V0C,33
BIRC2,1116
BRD9,67
C1QBP,711
CALM3,681
CAMSAP2,1750
CASP2,1590
CASP3,1037
CAST,2252
CDCA2,1717
CENPO,1193
CHMP3,1168
CLDN6,864
CLDN7,1303
CREG1,1703
DAXX,1332
DHCR24,1420
DHX36,1392
DLG5,864
DNAJA3,65
DNMT1,893
DZIP3,447
EID2,1167
EIF4B,1585
EPB41L2,219
EPHB4,241
ETV4,263
EWSR1,538
FDPS,154
FOXH1,1967
GSK3B,1059
HAT1,1025
HIRA,3407
HMGB2,1487
HMGN1,2004
HSBP1,166
IDE,2248
IGF2R,3109
IKBKG,790
INSIG1,1363
IRF3,985
KAT2A,2120
KDM1A,352
KDM2B,2142
KDR,2056
KIF1B,2407
KIF20A,183
KLF10,1932
LAD1,1361
LRPPRC,1053
LZTR1,1381
MAP1B,784
MAP3K7,2019
MAPKAPK2,2196
MAST2,1029
MAU2,1021
MBTPS1,626
MED1,407
MED12,2766
MED13,2787
MED13L,2469
MED24,455
METTL3,498
METTL14,468
METTL17,790
MKI67,968
MTA1,1434
NCK2,2929
NDUFB4,1413
NDUFB6,863
NISCH,2101
NIT1,1287
NRAS,1172
NREP,352
OXA1L,63
OXCT1,740
PAGR1,1953
PBX1,2313
PHF10,450
PHF14,899
PLCB3,1110
PMEL,356
PMS1,1100
POLB,1905
PRCP,4331
PRDM14,359
PRR12,1286
PTPN1,2195
RAB3B,594
RAF1,791
RNF2,1844
RNF20,47
RRM1,638
SAFB,827
SALL4,180
SDC1,215
SEC62,286
SHPRH,241
SIN3B,586
SIX4,642
SLC25A3,805
SLC39A6,178
SMAGP,788
SMARCA4,1015
SMARCA5,1795
SNCA,386
SOX2,806
SRC,2403
SSBP1,905
STAG2,1573
STAT1,2493
STAT6,858
STX4,1249
SUPT4H1,364
SV2A,580
TADA1,4035
TAF13,138
TARBP2,2032
TAZ,749
TCF3,1343
TET1,2428
TFAM,1105
TGFBR2,1474
TMBIM6,505
TMSB4X,4760
TMSB10,872
TRAM2,1756
TRAPPC6A,589
TSC22D4,1970
TWF2,1008
TXNDC9,514
UBE3C,1590
UQCRQ,1161
USP22,2491
WFS1,2043
WSB2,712
XRCC4,591
ZNF286A,1059
ZNF426,1132
ZNF562,418
ZNF593,797
ZNF714,852
non-targeting,38176
